Row_Index,Column,Original_Value,New_Value
12766,Enacted_Date,09/12/2005,2005-12-09
12766,Effective_Date,08/05/2006,2006-05-08
12767,Enacted_Date,11/06/1992,1992-06-11
12767,Effective_Date,31/12/1992,1992-12-31
12768,Enacted_Date,02/04/2004,2004-04-02
12768,Effective_Date,01/07/2004,2004-07-01
12769,Enacted_Date,13/07/2000,2000-07-13
12769,Effective_Date,13/07/2000,2000-07-13
12770,Enacted_Date,27/03/2006,2006-03-27
12770,Effective_Date,01/07/2006,2006-07-01
12771,Enacted_Date,11/06/1992,1992-06-11
12771,Effective_Date,28/08/1992,1992-08-28
12772,Enacted_Date,16/04/2005,2005-04-16
12772,Effective_Date,01/10/2005,2005-10-01
12773,Enacted_Date,15/01/2006,2006-01-15
12773,Effective_Date,15/04/2006,2006-04-15
12774,Enacted_Date,29/06/2004,2004-06-29
12774,Effective_Date,01/03/2005,2005-03-01
12775,Enacted_Date,23/06/2003,2003-06-23
12775,Effective_Date,01/07/2003,2003-07-01
12776,Enacted_Date,02/06/1975,1975-06-02
12776,Effective_Date,02/06/1975,1975-06-02
12777,Enacted_Date,31/05/2002,2002-05-31
12777,Effective_Date,01/12/2002,2002-12-01
12778,Enacted_Date,05/05/1977,1977-05-05
12778,Effective_Date,05/05/1977,1977-05-05
12779,Enacted_Date,09/05/2005,2005-05-09
12779,Effective_Date,01/07/2005,2005-07-01
12780,Enacted_Date,21/08/1999,1999-08-21
12780,Effective_Date,21/08/1999,1999-08-21
12781,Enacted_Date,28/05/1993,1993-05-28
12781,Effective_Date,01/07/1993,1993-07-01
12782,Enacted_Date,17/04/2005,2005-04-17
12782,Effective_Date,01/10/2005,2005-10-01
12783,Enacted_Date,14/07/1992,1992-07-14
12783,Effective_Date,15/08/1992,1992-08-15
12784,Enacted_Date,08/11/2005,2005-11-08
12784,Effective_Date,08/12/2005,2005-12-08
12785,Enacted_Date,13/12/2002,2002-12-13
12785,Effective_Date,13/12/2002,2002-12-13
12786,Enacted_Date,11/06/1992,1992-06-11
12786,Effective_Date,31/12/1992,1992-12-31
12787,Enacted_Date,09/12/2005,2005-12-09
12787,Effective_Date,08/05/2006,2006-05-08
12788,Enacted_Date,19/06/1985,1985-06-19
12788,Effective_Date,01/10/1985,1985-10-01
12789,Enacted_Date,19/06/2003,2003-06-19
12789,Effective_Date,01/09/2003,2003-09-01
12790,Enacted_Date,15/01/2006,2006-01-15
12790,Effective_Date,15/04/2006,2006-04-15
12791,Enacted_Date,11/06/1992,1992-06-11
12791,Effective_Date,31/12/1992,1992-12-31
12792,Enacted_Date,13/02/1996,1996-02-13
12792,Effective_Date,01/07/1997,1997-07-01
12793,Enacted_Date,21/07/1994,1994-07-21
12793,Effective_Date,01/01/1995,1995-01-01
12794,Enacted_Date,10/04/2006,2006-04-10
12794,Effective_Date,21/07/2006,2006-07-21
12795,Enacted_Date,22/10/1993,1993-10-22
12795,Effective_Date,22/10/1993,1993-10-22
12796,Enacted_Date,01/12/1977,1977-12-01
12796,Effective_Date,30/01/1978,1978-01-30
12797,Enacted_Date,22/02/2002,2002-02-22
12797,Effective_Date,01/07/2002,2002-07-01
12798,Enacted_Date,22/03/1994,1994-03-22
12798,Effective_Date,01/01/1995,1995-01-01
12799,Enacted_Date,22/02/2002,2002-02-22
12799,Effective_Date,01/07/2002,2002-07-01
12800,Enacted_Date,07/04/2006,2006-04-07
12800,Effective_Date,21/07/2006,2006-07-21
12801,Enacted_Date,01/01/1999,1999-01-01
12801,Effective_Date,01/01/1999,1999-01-01
12802,Enacted_Date,16/04/2005,2005-04-16
12802,Effective_Date,01/10/2005,2005-10-01
12803,Enacted_Date,25/04/2005,2005-04-25
12803,Effective_Date,01/08/2005,2005-08-01
12804,Enacted_Date,29/06/2004,2004-06-29
12804,Effective_Date,01/03/2005,2005-03-01
12805,Enacted_Date,10/07/2006,2006-07-10
12805,Effective_Date,16/11/2006,2006-11-16
12806,Enacted_Date,21/12/1988,1988-12-21
12806,Effective_Date,31/12/1988,1988-12-31
12807,Enacted_Date,22/02/2002,2002-02-22
12807,Effective_Date,01/07/2002,2002-07-01
12808,Enacted_Date,13/07/2000,2000-07-13
12808,Effective_Date,13/07/2000,2000-07-13
12809,Enacted_Date,15/04/2005,2005-04-15
12809,Effective_Date,01/10/2005,2005-10-01
12810,Enacted_Date,01/07/1987,1987-07-01
12810,Effective_Date,31/12/1987,1987-12-31
12811,Enacted_Date,18/04/2005,2005-04-18
12811,Effective_Date,01/10/2005,2005-10-01
12812,Enacted_Date,01/01/1987,1987-01-01
12812,Effective_Date,01/01/1987,1987-01-01
12813,Enacted_Date,29/09/2003,2003-09-29
12813,Effective_Date,03/12/2003,2003-12-03
12814,Enacted_Date,01/01/1990,1990-01-01
12814,Effective_Date,01/07/1990,1990-07-01
12815,Enacted_Date,21/12/1988,1988-12-21
12815,Effective_Date,31/12/1988,1988-12-31
12816,Enacted_Date,14/04/1987,1987-04-14
12816,Effective_Date,01/07/1987,1987-07-01
12817,Enacted_Date,01/01/1987,1987-01-01
12817,Effective_Date,01/01/1987,1987-01-01
12818,Enacted_Date,25/04/2005,2005-04-25
12818,Effective_Date,01/08/2005,2005-08-01
12819,Enacted_Date,26/05/2003,2003-05-26
12819,Effective_Date,24/07/2003,2003-07-24
12820,Enacted_Date,27/03/2006,2006-03-27
12820,Effective_Date,01/07/2006,2006-07-01
12821,Enacted_Date,23/06/2003,2003-06-23
12821,Effective_Date,01/07/2003,2003-07-01
12822,Enacted_Date,23/06/2003,2003-06-23
12822,Effective_Date,01/07/2003,2003-07-01
12823,Enacted_Date,01/01/1979,1979-01-01
12823,Effective_Date,31/12/1979,1979-12-31
12824,Enacted_Date,06/06/1991,1991-06-06
12824,Effective_Date,01/10/1991,1991-10-01
12825,Enacted_Date,22/03/1994,1994-03-22
12825,Effective_Date,01/01/1995,1995-01-01
12826,Enacted_Date,10/04/2006,2006-04-10
12826,Effective_Date,21/07/2006,2006-07-21
12827,Enacted_Date,26/05/2003,2003-05-26
12827,Effective_Date,24/07/2003,2003-07-24
12828,Enacted_Date,08/11/2005,2005-11-08
12828,Effective_Date,08/12/2005,2005-12-08
12829,Enacted_Date,18/04/2005,2005-04-18
12829,Effective_Date,01/10/2005,2005-10-01
12830,Enacted_Date,27/03/2006,2006-03-27
12830,Effective_Date,01/07/2006,2006-07-01
12831,Enacted_Date,27/04/1995,1995-04-27
12831,Effective_Date,27/04/1995,1995-04-27
12832,Enacted_Date,31/01/2006,2006-01-31
12832,Effective_Date,04/04/2006,2006-04-04
12833,Enacted_Date,25/04/2005,2005-04-25
12833,Effective_Date,01/08/2005,2005-08-01
12834,Enacted_Date,24/04/1990,1990-04-24
12834,Effective_Date,24/04/1990,1990-04-24
12835,Enacted_Date,02/04/1996,1996-04-02
12835,Effective_Date,01/08/1997,1997-08-01
12836,Enacted_Date,15/04/2005,2005-04-15
12836,Effective_Date,01/10/2005,2005-10-01
12837,Enacted_Date,23/06/2003,2003-06-23
12837,Effective_Date,01/07/2003,2003-07-01
12838,Enacted_Date,21/05/1979,1979-05-21
12838,Effective_Date,01/01/1980,1980-01-01
12839,Enacted_Date,23/05/2003,2003-05-23
12839,Effective_Date,01/10/2003,2003-10-01
12840,Enacted_Date,19/06/2003,2003-06-19
12840,Effective_Date,01/09/2003,2003-09-01
12841,Enacted_Date,07/04/2006,2006-04-07
12841,Effective_Date,21/07/2006,2006-07-21
12842,Enacted_Date,09/12/2005,2005-12-09
12842,Effective_Date,08/05/2006,2006-05-08
12843,Enacted_Date,11/11/1991,1991-11-11
12843,Effective_Date,11/11/1991,1991-11-11
12844,Enacted_Date,27/04/1990,1990-04-27
12844,Effective_Date,01/01/1991,1991-01-01
12845,Enacted_Date,23/05/2003,2003-05-23
12845,Effective_Date,01/10/2003,2003-10-01
12846,Enacted_Date,15/01/2006,2006-01-15
12846,Effective_Date,15/04/2006,2006-04-15
12847,Enacted_Date,26/03/2003,2003-03-26
12847,Effective_Date,24/07/2003,2003-07-24
12848,Enacted_Date,31/01/2006,2006-01-31
12848,Effective_Date,03/04/2006,2006-04-03
12849,Enacted_Date,26/03/2003,2003-03-26
12849,Effective_Date,24/07/2003,2003-07-24
12850,Enacted_Date,31/05/2002,2002-05-31
12850,Effective_Date,07/12/2002,2002-12-07
12851,Enacted_Date,08/11/2005,2005-11-08
12851,Effective_Date,08/12/2005,2005-12-08
12852,Enacted_Date,09/01/1990,1990-01-09
12852,Effective_Date,01/07/1990,1990-07-01
12853,Enacted_Date,29/06/2004,2004-06-29
12853,Effective_Date,01/03/2005,2005-03-01
12854,Enacted_Date,22/03/1994,1994-03-22
12854,Effective_Date,01/01/1995,1995-01-01
12855,Enacted_Date,16/05/1990,1990-05-16
12855,Effective_Date,14/08/1990,1990-08-14
12856,Enacted_Date,26/03/2003,2003-03-26
12856,Effective_Date,24/07/2003,2003-07-24
12857,Enacted_Date,18/04/2005,2005-04-18
12857,Effective_Date,01/10/2005,2005-10-01
12858,Enacted_Date,26/03/2003,2003-03-26
12858,Effective_Date,24/07/2003,2003-07-24
12859,Enacted_Date,01/01/1983,1983-01-01
12859,Effective_Date,31/12/1983,1983-12-31
12860,Enacted_Date,09/05/2005,2005-05-09
12860,Effective_Date,01/07/2005,2005-07-01
12861,Enacted_Date,21/08/1999,1999-08-21
12861,Effective_Date,21/08/1999,1999-08-21
12862,Enacted_Date,31/01/2006,2006-01-31
12862,Effective_Date,03/04/2006,2006-04-03
12863,Enacted_Date,10/07/2006,2006-07-10
12863,Effective_Date,16/11/2006,2006-11-16
12864,Enacted_Date,28/05/1993,1993-05-28
12864,Effective_Date,01/07/1993,1993-07-01
12865,Enacted_Date,01/01/1990,1990-01-01
12865,Effective_Date,01/07/1990,1990-07-01
12866,Enacted_Date,23/06/2003,2003-06-23
12866,Effective_Date,01/07/2003,2003-07-01
12867,Enacted_Date,26/03/2003,2003-03-26
12867,Effective_Date,25/07/2003,2003-07-25
12868,Enacted_Date,13/12/2002,2002-12-13
12868,Effective_Date,13/12/2002,2002-12-13
12869,Enacted_Date,28/05/1993,1993-05-28
12869,Effective_Date,01/07/1993,1993-07-01
12870,Enacted_Date,13/12/2002,2002-12-13
12870,Effective_Date,13/12/2002,2002-12-13
12871,Enacted_Date,21/07/1994,1994-07-21
12871,Effective_Date,01/01/1995,1995-01-01
12872,Enacted_Date,24/04/1990,1990-04-24
12872,Effective_Date,01/07/1990,1990-07-01
12873,Enacted_Date,14/07/1992,1992-07-14
12873,Effective_Date,15/08/1992,1992-08-15
12874,Enacted_Date,07/04/2006,2006-04-07
12874,Effective_Date,21/07/2006,2006-07-21
12875,Enacted_Date,23/05/2003,2003-05-23
12875,Effective_Date,01/10/2003,2003-10-01
12876,Enacted_Date,31/05/2002,2002-05-31
12876,Effective_Date,01/12/2002,2002-12-01
12877,Enacted_Date,09/12/2005,2005-12-09
12877,Effective_Date,08/05/2006,2006-05-08
12878,Enacted_Date,15/10/1993,1993-10-15
12878,Effective_Date,01/04/1994,1994-04-01
12879,Enacted_Date,18/06/2004,2004-06-18
12879,Effective_Date,05/07/2004,2004-07-05
12880,Enacted_Date,27/03/2006,2006-03-27
12880,Effective_Date,01/07/2006,2006-07-01
12881,Enacted_Date,18/04/2005,2005-04-18
12881,Effective_Date,01/10/2005,2005-10-01
12882,Enacted_Date,22/03/1994,1994-03-22
12882,Effective_Date,01/01/1995,1995-01-01
12883,Enacted_Date,16/10/1989,1989-10-16
12883,Effective_Date,16/10/1989,1989-10-16
12884,Enacted_Date,10/04/2006,2006-04-10
12884,Effective_Date,21/07/2006,2006-07-21
12885,Enacted_Date,01/04/1993,1993-04-01
12885,Effective_Date,01/08/1993,1993-08-01
12886,Enacted_Date,31/05/2002,2002-05-31
12886,Effective_Date,07/12/2002,2002-12-07
12887,Enacted_Date,27/03/2006,2006-03-27
12887,Effective_Date,01/07/2006,2006-07-01
12888,Enacted_Date,22/02/2002,2002-02-22
12888,Effective_Date,01/07/2002,2002-07-01
12889,Enacted_Date,15/01/2006,2006-01-15
12889,Effective_Date,15/04/2006,2006-04-15
12890,Enacted_Date,11/02/2005,2005-02-11
12890,Effective_Date,01/10/2005,2005-10-01
12891,Enacted_Date,01/01/1983,1983-01-01
12891,Effective_Date,31/12/1983,1983-12-31
12892,Enacted_Date,02/04/2004,2004-04-02
12892,Effective_Date,01/07/2004,2004-07-01
12893,Enacted_Date,28/06/1994,1994-06-28
12893,Effective_Date,28/06/1994,1994-06-28
12894,Enacted_Date,09/12/2005,2005-12-09
12894,Effective_Date,08/05/2006,2006-05-08
12895,Enacted_Date,08/11/2005,2005-11-08
12895,Effective_Date,08/12/2005,2005-12-08
12896,Enacted_Date,30/06/2006,2006-06-30
12896,Effective_Date,01/01/2007,2007-01-01
12897,Enacted_Date,30/06/2006,2006-06-30
12897,Effective_Date,01/01/2007,2007-01-01
12898,Enacted_Date,28/06/1994,1994-06-28
12898,Effective_Date,28/06/1994,1994-06-28
12899,Enacted_Date,07/11/2006,2006-11-07
12899,Effective_Date,17/11/2006,2006-11-17
12900,Enacted_Date,02/04/2004,2004-04-02
12900,Effective_Date,01/07/2004,2004-07-01
12901,Enacted_Date,06/06/2003,2003-06-06
12901,Effective_Date,01/09/2003,2003-09-01
12902,Enacted_Date,21/05/1979,1979-05-21
12902,Effective_Date,01/01/1980,1980-01-01
12903,Enacted_Date,11/06/1992,1992-06-11
12903,Effective_Date,31/12/1992,1992-12-31
12904,Enacted_Date,19/06/2003,2003-06-19
12904,Effective_Date,01/09/2003,2003-09-01
12905,Enacted_Date,11/06/1992,1992-06-11
12905,Effective_Date,31/12/1992,1992-12-31
12906,Enacted_Date,23/06/2003,2003-06-23
12906,Effective_Date,01/07/2003,2003-07-01
12907,Enacted_Date,21/12/1988,1988-12-21
12907,Effective_Date,19/02/1989,1989-02-19
12908,Enacted_Date,31/01/2006,2006-01-31
12908,Effective_Date,03/04/2006,2006-04-03
12909,Enacted_Date,30/06/2006,2006-06-30
12909,Effective_Date,01/01/2007,2007-01-01
12910,Enacted_Date,07/11/2006,2006-11-07
12910,Effective_Date,01/05/2007,2007-05-01
12911,Enacted_Date,06/06/2003,2003-06-06
12911,Effective_Date,01/11/2003,2003-11-01
12912,Enacted_Date,26/05/2003,2003-05-26
12912,Effective_Date,24/07/2003,2003-07-24
12913,Enacted_Date,03/06/1993,1993-06-03
12913,Effective_Date,01/01/1995,1995-01-01
12914,Enacted_Date,26/03/2003,2003-03-26
12914,Effective_Date,24/07/2003,2003-07-24
12915,Enacted_Date,07/11/2006,2006-11-07
12915,Effective_Date,07/12/2006,2006-12-07
12916,Enacted_Date,23/05/2003,2003-05-23
12916,Effective_Date,01/10/2003,2003-10-01
12917,Enacted_Date,31/05/2002,2002-05-31
12917,Effective_Date,27/11/2002,2002-11-27
12918,Enacted_Date,02/05/1994,1994-05-02
12918,Effective_Date,01/07/1994,1994-07-01
12919,Enacted_Date,15/06/1993,1993-06-15
12919,Effective_Date,01/01/1994,1994-01-01
12920,Enacted_Date,15/04/2005,2005-04-15
12920,Effective_Date,01/10/2005,2005-10-01
12921,Enacted_Date,23/06/2003,2003-06-23
12921,Effective_Date,01/07/2003,2003-07-01
12922,Enacted_Date,10/07/2006,2006-07-10
12922,Effective_Date,16/11/2006,2006-11-16
12923,Enacted_Date,07/11/2006,2006-11-07
12923,Effective_Date,01/05/2007,2007-05-01
12924,Enacted_Date,27/04/1995,1995-04-27
12924,Effective_Date,27/04/1995,1995-04-27
12925,Enacted_Date,27/03/2006,2006-03-27
12925,Effective_Date,01/07/2006,2006-07-01
12926,Enacted_Date,30/06/2006,2006-06-30
12926,Effective_Date,01/01/2007,2007-01-01
12927,Enacted_Date,01/01/1990,1990-01-01
12927,Effective_Date,01/07/1990,1990-07-01
12928,Enacted_Date,18/06/2004,2004-06-18
12928,Effective_Date,05/07/2004,2004-07-05
12929,Enacted_Date,22/02/2002,2002-02-22
12929,Effective_Date,01/07/2002,2002-07-01
12930,Enacted_Date,23/05/2003,2003-05-23
12930,Effective_Date,01/10/2003,2003-10-01
12931,Enacted_Date,11/06/1992,1992-06-11
12931,Effective_Date,31/12/1992,1992-12-31
12932,Enacted_Date,15/01/2006,2006-01-15
12932,Effective_Date,15/04/2006,2006-04-15
12933,Enacted_Date,26/07/1994,1994-07-26
12933,Effective_Date,25/08/1994,1994-08-25
12934,Enacted_Date,01/01/1983,1983-01-01
12934,Effective_Date,31/12/1983,1983-12-31
12935,Enacted_Date,18/06/2004,2004-06-18
12935,Effective_Date,05/07/2004,2004-07-05
12936,Enacted_Date,31/05/2002,2002-05-31
12936,Effective_Date,27/11/2002,2002-11-27
12937,Enacted_Date,08/11/2005,2005-11-08
12937,Effective_Date,08/12/2005,2005-12-08
12938,Enacted_Date,27/05/2006,2006-05-27
12938,Effective_Date,01/07/2006,2006-07-01
12939,Enacted_Date,29/06/2004,2004-06-29
12939,Effective_Date,01/03/2005,2005-03-01
12940,Enacted_Date,11/06/1992,1992-06-11
12940,Effective_Date,31/12/1992,1992-12-31
12941,Enacted_Date,11/06/1992,1992-06-11
12941,Effective_Date,13/08/1992,1992-08-13
12942,Enacted_Date,27/04/1990,1990-04-27
12942,Effective_Date,01/01/1991,1991-01-01
12943,Enacted_Date,08/11/2005,2005-11-08
12943,Effective_Date,08/12/2005,2005-12-08
12944,Enacted_Date,08/11/2005,2005-11-08
12944,Effective_Date,08/12/2005,2005-12-08
12945,Enacted_Date,28/05/1993,1993-05-28
12945,Effective_Date,01/07/1993,1993-07-01
12946,Enacted_Date,09/12/2005,2005-12-09
12946,Effective_Date,08/05/2006,2006-05-08
12947,Enacted_Date,01/01/1990,1990-01-01
12947,Effective_Date,01/07/1990,1990-07-01
12948,Enacted_Date,07/11/2006,2006-11-07
12948,Effective_Date,01/05/2007,2007-05-01
12949,Enacted_Date,18/06/2004,2004-06-18
12949,Effective_Date,05/07/2004,2004-07-05
12950,Enacted_Date,07/11/2006,2006-11-07
12950,Effective_Date,08/12/2006,2006-12-08
12951,Enacted_Date,08/06/1987,1987-06-08
12951,Effective_Date,01/07/1987,1987-07-01
12952,Enacted_Date,11/06/1992,1992-06-11
12952,Effective_Date,31/12/1992,1992-12-31
12953,Enacted_Date,09/12/2005,2005-12-09
12953,Effective_Date,08/05/2006,2006-05-08
12954,Enacted_Date,16/03/2006,2006-03-16
12954,Effective_Date,01/05/2006,2006-05-01
12955,Enacted_Date,15/01/2006,2006-01-15
12955,Effective_Date,15/04/2006,2006-04-15
12956,Enacted_Date,02/04/2004,2004-04-02
12956,Effective_Date,01/07/2004,2004-07-01
12957,Enacted_Date,26/03/2003,2003-03-26
12957,Effective_Date,24/07/2003,2003-07-24
12958,Enacted_Date,08/11/2005,2005-11-08
12958,Effective_Date,08/12/2005,2005-12-08
12959,Enacted_Date,02/06/1975,1975-06-02
12959,Effective_Date,02/06/1975,1975-06-02
12960,Enacted_Date,26/03/2003,2003-03-26
12960,Effective_Date,25/07/2003,2003-07-25
12961,Enacted_Date,30/06/2006,2006-06-30
12961,Effective_Date,01/01/2007,2007-01-01
12962,Enacted_Date,25/04/2005,2005-04-25
12962,Effective_Date,01/08/2005,2005-08-01
12963,Enacted_Date,16/05/1990,1990-05-16
12963,Effective_Date,14/08/1990,1990-08-14
12964,Enacted_Date,15/10/1993,1993-10-15
12964,Effective_Date,01/04/1994,1994-04-01
12965,Enacted_Date,22/03/1994,1994-03-22
12965,Effective_Date,01/01/1995,1995-01-01
12966,Enacted_Date,18/04/2005,2005-04-18
12966,Effective_Date,01/10/2005,2005-10-01
12967,Enacted_Date,23/03/2003,2003-03-23
12967,Effective_Date,01/07/2003,2003-07-01
12968,Enacted_Date,15/06/1993,1993-06-15
12968,Effective_Date,01/01/1994,1994-01-01
12969,Enacted_Date,07/11/2006,2006-11-07
12969,Effective_Date,07/12/2006,2006-12-07
12970,Enacted_Date,22/02/2002,2002-02-22
12970,Effective_Date,01/07/2002,2002-07-01
12971,Enacted_Date,24/04/1990,1990-04-24
12971,Effective_Date,01/07/1990,1990-07-01
12972,Enacted_Date,23/06/2003,2003-06-23
12972,Effective_Date,01/07/2003,2003-07-01
12973,Enacted_Date,10/07/2006,2006-07-10
12973,Effective_Date,16/11/2006,2006-11-16
12974,Enacted_Date,17/04/2005,2005-04-17
12974,Effective_Date,01/10/2005,2005-10-01
12975,Enacted_Date,19/06/2003,2003-06-19
12975,Effective_Date,01/09/2003,2003-09-01
12976,Enacted_Date,07/11/2006,2006-11-07
12976,Effective_Date,08/12/2006,2006-12-08
12977,Enacted_Date,19/06/2003,2003-06-19
12977,Effective_Date,01/09/2003,2003-09-01
12978,Enacted_Date,15/01/2006,2006-01-15
12978,Effective_Date,15/04/2006,2006-04-15
12979,Enacted_Date,31/05/2002,2002-05-31
12979,Effective_Date,27/11/2002,2002-11-27
12980,Enacted_Date,16/05/1990,1990-05-16
12980,Effective_Date,14/08/1990,1990-08-14
12981,Enacted_Date,07/12/2006,2006-12-07
12981,Effective_Date,01/05/2007,2007-05-01
12982,Enacted_Date,15/04/2005,2005-04-15
12982,Effective_Date,01/10/2005,2005-10-01
12983,Enacted_Date,21/12/1988,1988-12-21
12983,Effective_Date,31/12/1988,1988-12-31
12984,Enacted_Date,30/06/2006,2006-06-30
12984,Effective_Date,01/01/2007,2007-01-01
12985,Enacted_Date,31/01/2006,2006-01-31
12985,Effective_Date,03/04/2006,2006-04-03
12986,Enacted_Date,29/06/2004,2004-06-29
12986,Effective_Date,01/03/2005,2005-03-01
12987,Enacted_Date,27/03/2006,2006-03-27
12987,Effective_Date,01/07/2006,2006-07-01
12988,Enacted_Date,17/08/2001,2001-08-17
12988,Effective_Date,01/01/2002,2002-01-01
12989,Enacted_Date,31/01/2006,2006-01-31
12989,Effective_Date,03/04/2006,2006-04-03
12990,Enacted_Date,25/04/2005,2005-04-25
12990,Effective_Date,01/08/2005,2005-08-01
12991,Enacted_Date,30/06/2006,2006-06-30
12991,Effective_Date,01/01/2007,2007-01-01
12992,Enacted_Date,11/06/1992,1992-06-11
12992,Effective_Date,31/12/1992,1992-12-31
12993,Enacted_Date,06/06/2003,2003-06-06
12993,Effective_Date,01/09/2003,2003-09-01
12994,Enacted_Date,23/06/2003,2003-06-23
12994,Effective_Date,01/07/2003,2003-07-01
12995,Enacted_Date,13/04/1985,1985-04-13
12995,Effective_Date,12/07/1985,1985-07-12
12996,Enacted_Date,02/06/1975,1975-06-02
12996,Effective_Date,02/06/1975,1975-06-02
12997,Enacted_Date,31/01/2006,2006-01-31
12997,Effective_Date,04/04/2006,2006-04-04
12998,Enacted_Date,06/06/2003,2003-06-06
12998,Effective_Date,01/09/2003,2003-09-01
12999,Enacted_Date,31/05/2002,2002-05-31
12999,Effective_Date,01/12/2002,2002-12-01
13000,Enacted_Date,07/11/2006,2006-11-07
13000,Effective_Date,17/11/2006,2006-11-17
13001,Enacted_Date,20/03/1997,1997-03-20
13001,Effective_Date,01/12/1997,1997-12-01
13002,Enacted_Date,15/04/2004,2004-04-15
13002,Effective_Date,15/04/2004,2004-04-15
13003,Enacted_Date,23/05/2003,2003-05-23
13003,Effective_Date,01/10/2003,2003-10-01
13004,Enacted_Date,22/03/1994,1994-03-22
13004,Effective_Date,01/01/1995,1995-01-01
13005,Enacted_Date,01/01/1983,1983-01-01
13005,Effective_Date,31/12/1983,1983-12-31
13006,Enacted_Date,05/07/1989,1989-07-05
13006,Effective_Date,01/01/1990,1990-01-01
13007,Enacted_Date,05/07/1989,1989-07-05
13007,Effective_Date,01/01/1990,1990-01-01
13008,Enacted_Date,22/03/1994,1994-03-22
13008,Effective_Date,01/01/1995,1995-01-01
13009,Enacted_Date,08/11/2005,2005-11-08
13009,Effective_Date,08/12/2005,2005-12-08
13010,Enacted_Date,08/11/2005,2005-11-08
13010,Effective_Date,08/12/2005,2005-12-08
13011,Enacted_Date,31/01/2006,2006-01-31
13011,Effective_Date,03/04/2006,2006-04-03
13012,Enacted_Date,10/07/2006,2006-07-10
13012,Effective_Date,16/11/2006,2006-11-16
13013,Enacted_Date,18/06/2004,2004-06-18
13013,Effective_Date,05/07/2004,2004-07-05
13014,Enacted_Date,31/05/2005,2005-05-31
13014,Effective_Date,17/09/2005,2005-09-17
13015,Enacted_Date,29/06/2004,2004-06-29
13015,Effective_Date,01/03/2005,2005-03-01
13016,Enacted_Date,19/06/1985,1985-06-19
13016,Effective_Date,01/10/1985,1985-10-01
13017,Enacted_Date,29/06/2004,2004-06-29
13017,Effective_Date,01/03/2005,2005-03-01
13018,Enacted_Date,29/06/2004,2004-06-29
13018,Effective_Date,01/03/2005,2005-03-01
13019,Enacted_Date,14/04/1987,1987-04-14
13019,Effective_Date,01/07/1987,1987-07-01
13020,Enacted_Date,27/03/2006,2006-03-27
13020,Effective_Date,01/07/2006,2006-07-01
13021,Enacted_Date,07/04/2006,2006-04-07
13021,Effective_Date,21/07/2006,2006-07-21
13022,Enacted_Date,27/03/2006,2006-03-27
13022,Effective_Date,01/07/2006,2006-07-01
13023,Enacted_Date,01/06/2005,2005-06-01
13023,Effective_Date,01/09/2005,2005-09-01
13024,Enacted_Date,09/01/1990,1990-01-09
13024,Effective_Date,01/07/1990,1990-07-01
13025,Enacted_Date,18/04/1984,1984-04-18
13025,Effective_Date,26/04/1984,1984-04-26
13026,Enacted_Date,21/12/1988,1988-12-21
13026,Effective_Date,19/02/1989,1989-02-19
13027,Enacted_Date,25/04/2005,2005-04-25
13027,Effective_Date,01/08/2005,2005-08-01
13028,Enacted_Date,17/08/2001,2001-08-17
13028,Effective_Date,01/01/2002,2002-01-01
13029,Enacted_Date,22/03/1994,1994-03-22
13029,Effective_Date,01/01/1995,1995-01-01
13030,Enacted_Date,23/06/2003,2003-06-23
13030,Effective_Date,01/07/2003,2003-07-01
13031,Enacted_Date,18/06/2004,2004-06-18
13031,Effective_Date,05/07/2004,2004-07-05
13032,Enacted_Date,29/09/2003,2003-09-29
13032,Effective_Date,03/12/2003,2003-12-03
13033,Enacted_Date,22/03/1994,1994-03-22
13033,Effective_Date,01/01/1995,1995-01-01
13034,Enacted_Date,15/10/1993,1993-10-15
13034,Effective_Date,01/04/1994,1994-04-01
13035,Enacted_Date,07/11/2006,2006-11-07
13035,Effective_Date,01/05/2007,2007-05-01
13036,Enacted_Date,09/05/2005,2005-05-09
13036,Effective_Date,01/07/2005,2005-07-01
13037,Enacted_Date,18/04/1984,1984-04-18
13037,Effective_Date,26/04/1984,1984-04-26
13038,Enacted_Date,23/05/2003,2003-05-23
13038,Effective_Date,01/10/2003,2003-10-01
13039,Enacted_Date,01/04/1994,1994-04-01
13039,Effective_Date,01/07/1994,1994-07-01
13040,Enacted_Date,12/06/1995,1995-06-12
13040,Effective_Date,01/07/1995,1995-07-01
13041,Enacted_Date,01/01/1979,1979-01-01
13041,Effective_Date,31/12/1979,1979-12-31
13042,Enacted_Date,22/03/1994,1994-03-22
13042,Effective_Date,01/01/1995,1995-01-01
13043,Enacted_Date,18/03/1992,1992-03-18
13043,Effective_Date,15/06/1992,1992-06-15
13044,Enacted_Date,28/05/1993,1993-05-28
13044,Effective_Date,01/07/1993,1993-07-01
13045,Enacted_Date,07/11/2006,2006-11-07
13045,Effective_Date,07/12/2006,2006-12-07
13046,Enacted_Date,19/06/2003,2003-06-19
13046,Effective_Date,01/09/2003,2003-09-01
13047,Enacted_Date,20/04/2001,2001-04-20
13047,Effective_Date,20/04/2001,2001-04-20
13048,Enacted_Date,07/04/2006,2006-04-07
13048,Effective_Date,21/07/2006,2006-07-21
13049,Enacted_Date,30/05/1990,1990-05-30
13049,Effective_Date,01/08/1990,1990-08-01
13050,Enacted_Date,26/03/2003,2003-03-26
13050,Effective_Date,24/07/2003,2003-07-24
